Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
229,LEGO Pirates of the Caribbean: The Video Game,X360,2011,Action,Disney Interactive Studios,0.51,0.38,0,0.09,0.98
230,NCAA Football 12,X360,2011,Sports,Electronic Arts,0.92,0,0,0.05,0.97
231,UFC Undisputed 3,X360,2012,Fighting,THQ,0.7,0.19,0,0.07,0.96
232,Brutal Legend,X360,2009,Action,Electronic Arts,0.61,0.26,0,0.09,0.96
233,Dead Space 3,X360,2013,Shooter,Electronic Arts,0.61,0.25,0,0.07,0.94
234,Dark Souls,X360,2011,Role-Playing,Namco Bandai Games,0.6,0.26,0,0.08,0.94
235,Tom Clancy's Splinter Cell: Blacklist,X360,2013,Action,Ubisoft,0.53,0.32,0.01,0.08,0.93
236,Skylanders: Spyro's Adventure,X360,2011,Action,Activision,0.49,0.34,0,0.09,0.93
237,NCAA Football 10,X360,2009,Sports,Electronic Arts,0.86,0,0,0.07,0.93
238,NBA 2K10,X360,2009,Sports,Take-Two Interactive,0.84,0.01,0,0.07,0.92
239,Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.92
240,Sonic Unleashed,X360,2008,Platform,Sega,0.51,0.32,0,0.09,0.92
241,Bayonetta,X360,2009,Action,Sega,0.5,0.24,0.09,0.08,0.91
242,Just Dance 2014,X360,2013,Misc,Ubisoft,0.67,0.17,0,0.06,0.91
243,WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.57,0.26,0,0.08,0.91
244,NCAA Football 11,X360,2010,Sports,Electronic Arts,0.85,0,0,0.06,0.91
245,Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.58,0.24,0,0.08,0.9
246,Dante's Inferno,X360,2010,Action,Electronic Arts,0.61,0.2,0.02,0.07,0.9
247,Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.29,0.32,0.21,0.07,0.9
248,Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.57,0.24,0.01,0.09,0.9
249,LEGO Harry Potter: Years 5-7,X360,N/A,Action,Warner Bros. Interactive Entertainment,0.46,0.35,0,0.09,0.89
250,Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.67,0.15,0,0.07,0.89
251,Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.43,0.26,0.11,0.08,0.88
252,Wipeout: In The Zone,X360,2011,Misc,Activision,0.83,0,0,0.05,0.88
253,F1 2010,X360,2010,Racing,Codemasters,0.17,0.59,0.01,0.1,0.87
254,The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.72,0.1,0,0.06,0.87
255,Crysis 3,X360,2013,Shooter,Electronic Arts,0.48,0.31,0.01,0.07,0.87
256,WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.43,0.35,0,0.08,0.86
257,DiRT,X360,2007,Racing,Codemasters,0.37,0.4,0,0.09,0.86
258,GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.86
259,Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.46,0.31,0,0.09,0.86
260,Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.46,0.31,0,0.08,0.85
261,Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.46,0.29,0.01,0.08,0.85
262,Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.53,0.24,0.01,0.07,0.85
263,NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.78,0,0,0.06,0.84
264,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.31,0.42,0.02,0.09,0.84
265,Sleeping Dogs,X360,2012,Action,Square Enix,0.35,0.4,0.01,0.08,0.84
266,Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.59,0.18,0,0.07,0.84
267,FIFA Street,X360,2012,Sports,Electronic Arts,0.13,0.61,0,0.1,0.84
268,Rock Band 3,X360,2010,Misc,MTV Games,0.69,0.09,0,0.05,0.83
269,The Witcher 2: Assassins of Kings,X360,2012,Role-Playing,Namco Bandai Games,0.42,0.3,0.02,0.07,0.82
270,Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.5,0.25,0,0.07,0.81
271,Sniper Elite V2,X360,2012,Shooter,505 Games,0.44,0.28,0.02,0.07,0.81
